start,end,resource,detail
36973,36988,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=0"
36973,36988,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=0"
36974,36989,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=1"
36974,36989,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=1"
36975,36990,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=2"
36975,36990,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=2"
36976,36991,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=3"
36976,36991,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=3"
36988,36989,"MXM.E0.Dequant","gate/up: BF16 scale group=0"
36988,36989,"MXM.E0.Load","gate/up: INT8 IW column_block=0"
36988,36989,"MXM.E1.Dequant","gate/up: BF16 scale group=0"
36988,36989,"MXM.E1.Load","gate/up: INT8 IW column_block=0"
36988,36989,"MXM.W0.Dequant","gate/up: BF16 scale group=4"
36988,36989,"MXM.W0.Load","gate/up: INT8 IW column_block=0"
36988,36989,"MXM.W1.Dequant","gate/up: BF16 scale group=4"
36988,36989,"MXM.W1.Load","gate/up: INT8 IW column_block=0"
36989,36990,"MXM.E0.Dequant","gate/up: BF16 scale group=1"
36989,36990,"MXM.E0.Load","gate/up: INT8 IW column_block=1"
36989,36990,"MXM.E1.Dequant","gate/up: BF16 scale group=1"
36989,36990,"MXM.E1.Load","gate/up: INT8 IW column_block=1"
36989,36990,"MXM.W0.Dequant","gate/up: BF16 scale group=5"
36989,36990,"MXM.W0.Load","gate/up: INT8 IW column_block=1"
36989,36990,"MXM.W1.Dequant","gate/up: BF16 scale group=5"
36989,36990,"MXM.W1.Load","gate/up: INT8 IW column_block=1"
36989,36996,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=0"
36989,36996,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=0"
36990,36991,"MXM.E0.Dequant","gate/up: BF16 scale group=2"
36990,36991,"MXM.E0.Load","gate/up: INT8 IW column_block=2"
36990,36991,"MXM.E1.Dequant","gate/up: BF16 scale group=2"
36990,36991,"MXM.E1.Load","gate/up: INT8 IW column_block=2"
36990,36991,"MXM.W0.Dequant","gate/up: BF16 scale group=6"
36990,36991,"MXM.W0.Load","gate/up: INT8 IW column_block=2"
36990,36991,"MXM.W1.Dequant","gate/up: BF16 scale group=6"
36990,36991,"MXM.W1.Load","gate/up: INT8 IW column_block=2"
36990,36997,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=1"
36990,36997,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=1"
36991,36992,"MXM.E0.Dequant","gate/up: BF16 scale group=3"
36991,36992,"MXM.E0.Load","gate/up: INT8 IW column_block=3"
36991,36992,"MXM.E1.Dequant","gate/up: BF16 scale group=3"
36991,36992,"MXM.E1.Load","gate/up: INT8 IW column_block=3"
36991,36992,"MXM.W0.Dequant","gate/up: BF16 scale group=7"
36991,36992,"MXM.W0.Load","gate/up: INT8 IW column_block=3"
36991,36992,"MXM.W1.Dequant","gate/up: BF16 scale group=7"
36991,36992,"MXM.W1.Load","gate/up: INT8 IW column_block=3"
36991,36998,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=2"
36991,36998,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=2"
36992,36999,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=3"
36992,36999,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=3"
36996,37036,"MXM.E0.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
36996,37036,"MXM.E1.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
36996,37036,"MXM.W0.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
36996,37036,"MXM.W1.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
37001,37008,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=4"
37001,37008,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=4"
37002,37009,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=5"
37002,37009,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=5"
37003,37010,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=6"
37003,37010,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=6"
37004,37011,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=7"
37004,37011,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=7"
37013,37020,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=8"
37013,37020,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=8"
37014,37021,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=9"
37014,37021,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=9"
37015,37022,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=10"
37015,37022,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=10"
37016,37023,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=11"
37016,37023,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=11"
37025,37032,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=12"
37025,37032,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=12"
37026,37033,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=13"
37026,37033,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=13"
37027,37034,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=14"
37027,37034,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=14"
37028,37035,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=15"
37028,37035,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=15"
37029,37044,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=0"
37029,37044,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=0"
37030,37045,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=1"
37030,37045,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=1"
37031,37046,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=2"
37031,37046,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=2"
37032,37047,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=3"
37032,37047,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=3"
37044,37045,"MXM.E0.Dequant","gate/up: BF16 scale group=0"
37044,37045,"MXM.E0.Load","gate/up: INT8 IW column_block=0"
37044,37045,"MXM.E1.Dequant","gate/up: BF16 scale group=0"
37044,37045,"MXM.E1.Load","gate/up: INT8 IW column_block=0"
37044,37045,"MXM.W0.Dequant","gate/up: BF16 scale group=4"
37044,37045,"MXM.W0.Load","gate/up: INT8 IW column_block=0"
37044,37045,"MXM.W1.Dequant","gate/up: BF16 scale group=4"
37044,37045,"MXM.W1.Load","gate/up: INT8 IW column_block=0"
37045,37046,"MXM.E0.Dequant","gate/up: BF16 scale group=1"
37045,37046,"MXM.E0.Load","gate/up: INT8 IW column_block=1"
37045,37046,"MXM.E1.Dequant","gate/up: BF16 scale group=1"
37045,37046,"MXM.E1.Load","gate/up: INT8 IW column_block=1"
37045,37046,"MXM.W0.Dequant","gate/up: BF16 scale group=5"
37045,37046,"MXM.W0.Load","gate/up: INT8 IW column_block=1"
37045,37046,"MXM.W1.Dequant","gate/up: BF16 scale group=5"
37045,37046,"MXM.W1.Load","gate/up: INT8 IW column_block=1"
37045,37052,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=0"
37045,37052,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=0"
37046,37047,"MXM.E0.Dequant","gate/up: BF16 scale group=2"
37046,37047,"MXM.E0.Load","gate/up: INT8 IW column_block=2"
37046,37047,"MXM.E1.Dequant","gate/up: BF16 scale group=2"
37046,37047,"MXM.E1.Load","gate/up: INT8 IW column_block=2"
37046,37047,"MXM.W0.Dequant","gate/up: BF16 scale group=6"
37046,37047,"MXM.W0.Load","gate/up: INT8 IW column_block=2"
37046,37047,"MXM.W1.Dequant","gate/up: BF16 scale group=6"
37046,37047,"MXM.W1.Load","gate/up: INT8 IW column_block=2"
37046,37053,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=1"
37046,37053,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=1"
37047,37048,"MXM.E0.Dequant","gate/up: BF16 scale group=3"
37047,37048,"MXM.E0.Load","gate/up: INT8 IW column_block=3"
37047,37048,"MXM.E1.Dequant","gate/up: BF16 scale group=3"
37047,37048,"MXM.E1.Load","gate/up: INT8 IW column_block=3"
37047,37048,"MXM.W0.Dequant","gate/up: BF16 scale group=7"
37047,37048,"MXM.W0.Load","gate/up: INT8 IW column_block=3"
37047,37048,"MXM.W1.Dequant","gate/up: BF16 scale group=7"
37047,37048,"MXM.W1.Load","gate/up: INT8 IW column_block=3"
37047,37054,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=2"
37047,37054,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=2"
37048,37055,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=3"
37048,37055,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=3"
37052,37092,"MXM.E0.Compute","gate/up: Block8 wave=0 reduction=2 rows=128 partial sum dst=sram"
37052,37092,"MXM.E1.Compute","gate/up: Block8 wave=0 reduction=2 rows=128 partial sum dst=sram"
37052,37092,"MXM.W0.Compute","gate/up: Block8 wave=0 reduction=2 rows=128 partial sum dst=sram"
37052,37092,"MXM.W1.Compute","gate/up: Block8 wave=0 reduction=2 rows=128 partial sum dst=sram"
37057,37064,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=4"
37057,37064,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=4"
37058,37065,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=5"
37058,37065,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=5"
