start,end,resource,detail
1042,1090,"MXM.E0.Compute","gate decode waves reduction=16 dst=sram"
1042,1090,"MXM.W0.Compute","up decode waves reduction=16 dst=sram"
1090,1148,"MEM.E.Read","gate streamed INT8 weights reduction=17"
1090,1148,"MEM.W.Read","up streamed INT8 weights reduction=17"
1101,1102,"MXM.E0.ActivationLoad","gate activation block=17"
1101,1102,"MXM.W0.ActivationLoad","up activation block=17"
1105,1153,"MXM.E0.Compute","gate decode waves reduction=17 dst=sram"
1105,1153,"MXM.W0.Compute","up decode waves reduction=17 dst=sram"
1167,1215,"MXM.W0.AccumulatorRead","up FP32 dst=stream retain; one-cycle bridge skew"
1168,1216,"MXM.E0.AccumulatorRead","gate FP32 dst=stream retain"
1183,1236,"VXM.SwiGLU","48 vector waves; gate W0..W3 + bridged up E4..E7"
1198,1247,"MEM.E.Write","BF16 SwiGLU packed for down activation"
1198,1247,"MEM.W.Write","BF16 SwiGLU duplicate for down activation"
1252,1271,"MEM.E.Read","down weights columns 0..287 reduction=0"
1252,1271,"MEM.W.Read","down weights columns 288..575 reduction=0"
1263,1264,"MXM.E0.ActivationLoad","down SwiGLU block=0"
1263,1264,"MXM.W0.ActivationLoad","down SwiGLU block=0"
1267,1276,"MXM.E0.Compute","down columns 0..287 reduction=0 dst=sram"
1267,1276,"MXM.W0.Compute","down columns 288..575 reduction=0 dst=sram"
1276,1295,"MEM.E.Read","down weights columns 0..287 reduction=1"
1276,1295,"MEM.W.Read","down weights columns 288..575 reduction=1"
1287,1288,"MXM.E0.ActivationLoad","down SwiGLU block=1"
1287,1288,"MXM.W0.ActivationLoad","down SwiGLU block=1"
1291,1300,"MXM.E0.Compute","down columns 0..287 reduction=1 dst=sram"
1291,1300,"MXM.W0.Compute","down columns 288..575 reduction=1 dst=sram"
1300,1319,"MEM.E.Read","down weights columns 0..287 reduction=2"
1300,1319,"MEM.W.Read","down weights columns 288..575 reduction=2"
1311,1312,"MXM.E0.ActivationLoad","down SwiGLU block=2"
1311,1312,"MXM.W0.ActivationLoad","down SwiGLU block=2"
1315,1324,"MXM.E0.Compute","down columns 0..287 reduction=2 dst=sram"
1315,1324,"MXM.W0.Compute","down columns 288..575 reduction=2 dst=sram"
1324,1343,"MEM.E.Read","down weights columns 0..287 reduction=3"
1324,1343,"MEM.W.Read","down weights columns 288..575 reduction=3"
1335,1336,"MXM.E0.ActivationLoad","down SwiGLU block=3"
1335,1336,"MXM.W0.ActivationLoad","down SwiGLU block=3"
1339,1348,"MXM.E0.Compute","down columns 0..287 reduction=3 dst=sram"
1339,1348,"MXM.W0.Compute","down columns 288..575 reduction=3 dst=sram"
1348,1367,"MEM.E.Read","down weights columns 0..287 reduction=4"
1348,1367,"MEM.W.Read","down weights columns 288..575 reduction=4"
1359,1360,"MXM.E0.ActivationLoad","down SwiGLU block=4"
1359,1360,"MXM.W0.ActivationLoad","down SwiGLU block=4"
1363,1372,"MXM.E0.Compute","down columns 0..287 reduction=4 dst=sram"
1363,1372,"MXM.W0.Compute","down columns 288..575 reduction=4 dst=sram"
1372,1391,"MEM.E.Read","down weights columns 0..287 reduction=5"
1372,1391,"MEM.W.Read","down weights columns 288..575 reduction=5"
1383,1384,"MXM.E0.ActivationLoad","down SwiGLU block=5"
1383,1384,"MXM.W0.ActivationLoad","down SwiGLU block=5"
1387,1396,"MXM.E0.Compute","down columns 0..287 reduction=5 dst=sram"
1387,1396,"MXM.W0.Compute","down columns 288..575 reduction=5 dst=sram"
1396,1415,"MEM.E.Read","down weights columns 0..287 reduction=6"
1396,1415,"MEM.W.Read","down weights columns 288..575 reduction=6"
1407,1408,"MXM.E0.ActivationLoad","down SwiGLU block=6"
1407,1408,"MXM.W0.ActivationLoad","down SwiGLU block=6"
1411,1420,"MXM.E0.Compute","down columns 0..287 reduction=6 dst=sram"
1411,1420,"MXM.W0.Compute","down columns 288..575 reduction=6 dst=sram"
1420,1439,"MEM.E.Read","down weights columns 0..287 reduction=7"
